"","MOLECULE_NAME","SMILES","STRUCTURE","FDA_APPROVED"
"80","ERASTIN","CCOc1ccccc1n2c(nc3ccccc3c2=O)C(C)N4CCN(CC4)C(=O)COc5ccc(Cl)cc5","http://data.lincscloud.org/pert_images/BRD-A25004090.png",FALSE
"81","ERISMODEGIB","C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1","http://data.lincscloud.org/pert_images/BRD-K19796430.png",FALSE
"82","ERLOTINIB","COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC","http://data.lincscloud.org/pert_images/BRD-K70401845.png",FALSE
"83","ETOMOXIR","CCOC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1","http://data.lincscloud.org/pert_images/BRD-K32405725.png",FALSE
"84","ETOPOSIDE","COc1cc(cc(OC)c1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1","http://data.lincscloud.org/pert_images/BRD-A02579693.png",TRUE
"85","EX527","NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21","http://data.lincscloud.org/pert_images/BRD-K76964878.png",FALSE
"86","FGIN127","CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)c3ccc(F)cc3","http://data.lincscloud.org/pert_images/BRD-K09778810.png",FALSE
"87","FLUOROURACIL","Fc1c[nH]c(=O)[nH]c1=O","http://data.lincscloud.org/pert_images/BRD-K24844714.png",TRUE
"88","FLUVASTATIN","CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13","http://data.lincscloud.org/pert_images/BRD-K66296774.png",FALSE
"89","FORETINIB","COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1","http://data.lincscloud.org/pert_images/BRD-K03449891.png",FALSE
"90","FULVESTRANT","C[C@]12CC[C@H]3[C@@H]([C@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31","http://data.lincscloud.org/pert_images/BRD-A17828570.png",TRUE
"91","FUMONISINB1","CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(O)=O)C(O)=O)[C@H](CC(C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(O)=O)C(O)=O","http://data.lincscloud.org/pert_images/BRD-A63646118.png",FALSE
"92","GANT61","CN(C)c1ccccc1CN1CCCN(Cc2ccccc2N(C)C)C1c1ccncc1","http://data.lincscloud.org/pert_images/BRD-K09485525.png",FALSE
"93","GDC0879","OCCn1cc(c(n1)-c1ccncc1)-c1ccc2c(CC\C2=N/O)c1","http://data.lincscloud.org/pert_images/BRD-K67578145.png",FALSE
"94","GDC0941","CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1","http://data.lincscloud.org/pert_images/BRD-K52911425.png",FALSE
"95","GEFITINIB","COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4","http://data.lincscloud.org/pert_images/BRD-K64052750.png",FALSE
"96","GEMCITABINE","Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1","http://data.lincscloud.org/pert_images/BRD-K15108141.png",TRUE
"97","GMX1778","Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1","http://data.lincscloud.org/pert_images/BRD-K47335880.png",FALSE
"98","GOSSYPOL","CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c3c(C)cc4c(C(C)C)c(O)c(O)c(C=O)c4c3O","http://data.lincscloud.org/pert_images/BRD-K19295594.png",FALSE
"99","GSK1059615","O=C1NC(=O)\C(S1)=C/c1ccc2nccc(-c3ccncc3)c2c1","http://data.lincscloud.org/pert_images/BRD-K02708799.png",FALSE
"100","GSK3INHIBITORIX","O/N=C/1\C(=C/2\C(=O)Nc3cc(Br)ccc23)\Nc4ccccc14","http://data.lincscloud.org/pert_images/BRD-K04923131.png",FALSE
"101","GSK461364","C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F","http://data.lincscloud.org/pert_images/BRD-K92428232.png",FALSE
"102","GW405833","COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN4CCOCC4)c2c1","http://data.lincscloud.org/pert_images/BRD-K10705233.png",FALSE
